grade,frequency
0,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,5
67,5
68,5
69,5
70,5
71,5
72,5
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,5
142,5
143,5
144,5
145,5
146,5
147,5
148,5
149,5
150,5
151,5
152,5
153,5
154,5
155,5
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,5
171,5
172,5
173,5
174,5
175,5
176,5
177,5
178,5
179,5
180,5
181,5
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,5
197,5
198,5
199,5
200,29
201,29
202,29
203,29
204,29
205,29
206,29
207,29
208,29
209,29
210,29
211,29
212,29
213,29
214,29
215,29
216,29
217,29
218,29
219,29
220,29
221,29
222,29
223,29
224,29
225,29
226,29
227,29
228,29
229,29
230,29
231,29
232,29
233,29
234,29
235,29
236,29
237,29
238,29
239,29
240,29
241,29
242,29
243,29
244,29
245,29
246,29
247,29
248,29
249,29
250,29
251,29
252,29
253,29
254,29
255,29
256,29
257,29
258,29
259,29
260,29
261,29
262,29
263,29
264,29
265,29
266,29
267,29
268,29
269,29
270,29
271,29
272,29
273,29
274,29
275,29
276,29
277,29
278,29
279,29
280,29
281,29
282,29
283,29
284,29
285,29
286,29
287,29
288,29
289,29
290,29
291,29
292,29
293,29
294,29
295,29
296,29
297,29
298,29
299,29
300,29
301,29
302,29
303,29
304,29
305,29
306,29
307,29
308,29
309,29
310,29
311,29
312,29
313,29
314,29
315,29
316,29
317,29
318,29
319,29
320,29
321,29
322,29
323,29
324,29
325,29
326,29
327,29
328,29
329,29
330,29
331,29
332,29
333,29
334,29
335,29
336,29
337,29
338,29
339,29
340,29
341,29
342,29
343,29
344,29
345,29
346,29
347,29
348,29
349,29
350,29
351,29
352,29
353,29
354,29
355,29
356,29
357,29
358,29
359,29
360,29
361,29
362,29
363,29
364,29
365,29
366,29
367,29
368,29
369,29
370,29
371,29
372,29
373,29
374,29
375,29
376,29
377,29
378,29
379,29
380,29
381,29
382,29
383,29
384,29
385,29
386,29
387,29
388,29
389,29
390,29
391,29
392,29
393,29
394,29
395,29
396,29
397,29
398,29
399,29
400,56
401,56
402,56
403,56
404,56
405,56
406,56
407,56
408,56
409,56
410,56
411,56
412,56
413,56
414,56
415,56
416,56
417,56
418,56
419,56
420,56
421,56
422,56
423,56
424,56
425,56
426,56
427,56
428,56
429,56
430,56
431,56
432,56
433,56
434,56
435,56
436,56
437,56
438,56
439,56
440,56
441,56
442,56
443,56
444,56
445,56
446,56
447,56
448,56
449,56
450,56
451,56
452,56
453,56
454,56
455,56
456,56
457,56
458,56
459,56
460,56
461,56
462,56
463,56
464,56
465,56
466,56
467,56
468,56
469,56
470,56
471,56
472,56
473,56
474,56
475,56
476,56
477,56
478,56
479,56
480,56
481,56
482,56
483,56
484,56
485,56
486,56
487,56
488,56
489,56
490,56
491,56
492,56
493,56
494,56
495,56
496,56
497,56
498,56
499,56
500,56
501,56
502,56
503,56
504,56
505,56
506,56
507,56
508,56
509,56
510,56
511,56
512,56
513,56
514,56
515,56
516,56
517,56
518,56
519,56
520,56
521,56
522,56
523,56
524,56
525,56
526,56
527,56
528,56
529,56
530,56
531,56
532,56
533,56
534,56
535,56
536,56
537,56
538,56
539,56
540,56
541,56
542,56
543,56
544,56
545,56
546,56
547,56
548,56
549,56
550,56
551,56
552,56
553,56
554,56
555,56
556,56
557,56
558,56
559,56
560,56
561,56
562,56
563,56
564,56
565,56
566,56
567,56
568,56
569,56
570,56
571,56
572,56
573,56
574,56
575,56
576,56
577,56
578,56
579,56
580,56
581,56
582,56
583,56
584,56
585,56
586,56
587,56
588,56
589,56
590,56
591,56
592,56
593,56
594,56
595,56
596,56
597,56
598,56
599,56
600,17
601,17
602,17
603,17
604,17
605,17
606,17
607,17
608,17
609,17
610,17
611,17
612,17
613,17
614,17
615,17
616,17
617,17
618,17
619,17
620,17
621,17
622,17
623,17
624,17
625,17
626,17
627,17
628,17
629,17
630,17
631,17
632,17
633,17
634,17
635,17
636,17
637,17
638,17
639,17
640,17
641,17
642,17
643,17
644,17
645,17
646,17
647,17
648,17
649,17
650,17
651,17
652,17
653,17
654,17
655,17
656,17
657,17
658,17
659,17
660,17
661,17
662,17
663,17
664,17
665,17
666,17
667,17
668,17
669,17
670,17
671,17
672,17
673,17
674,17
675,17
676,17
677,17
678,17
679,17
680,17
681,17
682,17
683,17
684,17
685,17
686,17
687,17
688,17
689,17
690,17
691,17
692,17
693,17
694,17
695,17
696,17
697,17
698,17
699,17
700,17
701,17
702,17
703,17
704,17
705,17
706,17
707,17
708,17
709,17
710,17
711,17
712,17
713,17
714,17
715,17
716,17
717,17
718,17
719,17
720,17
721,17
722,17
723,17
724,17
725,17
726,17
727,17
728,17
729,17
730,17
731,17
732,17
733,17
734,17
735,17
736,17
737,17
738,17
739,17
740,17
741,17
742,17
743,17
744,17
745,17
746,17
747,17
748,17
749,17
750,17
751,17
752,17
753,17
754,17
755,17
756,17
757,17
758,17
759,17
760,17
761,17
762,17
763,17
764,17
765,17
766,17
767,17
768,17
769,17
770,17
771,17
772,17
773,17
774,17
775,17
776,17
777,17
778,17
779,17
780,17
781,17
782,17
783,17
784,17
785,17
786,17
787,17
788,17
789,17
790,17
791,17
792,17
793,17
794,17
795,17
796,17
797,17
798,17
799,17
800,3
801,3
802,3
803,3
804,3
805,3
806,3
807,3
808,3
809,3
810,3
811,3
812,3
813,3
814,3
815,3
816,3
817,3
818,3
819,3
820,3
821,3
822,3
823,3
824,3
825,3
826,3
827,3
828,3
829,3
830,3
831,3
832,3
833,3
834,3
835,3
836,3
837,3
838,3
839,3
840,3
841,3
842,3
843,3
844,3
845,3
846,3
847,3
848,3
849,3
850,3
851,3
852,3
853,3
854,3
855,3
856,3
857,3
858,3
859,3
860,3
861,3
862,3
863,3
864,3
865,3
866,3
867,3
868,3
869,3
870,3
871,3
872,3
873,3
874,3
875,3
876,3
877,3
878,3
879,3
880,3
881,3
882,3
883,3
884,3
885,3
886,3
887,3
888,3
889,3
890,3
891,3
892,3
893,3
894,3
895,3
896,3
897,3
898,3
899,3
900,3
901,3
902,3
903,3
904,3
905,3
906,3
907,3
908,3
909,3
910,3
911,3
912,3
913,3
914,3
915,3
916,3
917,3
918,3
919,3
920,3
921,3
922,3
923,3
924,3
925,3
926,3
927,3
928,3
929,3
930,3
931,3
932,3
933,3
934,3
935,3
936,3
937,3
938,3
939,3
940,3
941,3
942,3
943,3
944,3
945,3
946,3
947,3
948,3
949,3
950,3
951,3
952,3
953,3
954,3
955,3
956,3
957,3
958,3
959,3
960,3
961,3
962,3
963,3
964,3
965,3
966,3
967,3
968,3
969,3
970,3
971,3
972,3
973,3
974,3
975,3
976,3
977,3
978,3
979,3
980,3
981,3
982,3
983,3
984,3
985,3
986,3
987,3
988,3
989,3
990,3
991,3
992,3
993,3
994,3
995,3
996,3
997,3
998,3
999,3
